,Zaber_pos,Percen,F_avg,M1,M0,F_avg_noise,M1_noise,M0_noise
13,798601.0,0.0,3572.069803685601,2.8660423402524163e-06,8.023477977096871e-10,3572.069803685601,-2.2650592316458883e-05,-7.870876130757799e-08
14,798601.0,0.0,1464.5956103578183,3.1733773886070174e-06,2.166726000108469e-09,1464.5956103578183,-2.234325726810429e-05,-7.734438310517922e-08
15,798777.0,0.0,1419.3727344080874,6.280755106890778e-06,4.4250216695264365e-09,1419.3727344080874,-1.923587954982053e-05,-7.508608743576126e-08
16,798777.0,0.0,2249.7082421260857,2.7418410661691684e-06,1.2187540654507239e-09,2249.7082421260857,-2.2774793590542143e-05,-7.829235503983695e-08
17,798777.0,0.0,3343.568215814882,1.972075325466387e-06,5.898116019103741e-10,3343.568215814882,-2.3544559331244905e-05,-7.892129750337734e-08
18,798952.0,0.0,1494.7886550082335,3.2438084019244328e-06,2.1700782856868587e-09,1494.7886550082335,-2.2272826254786873e-05,-7.734103081960085e-08
19,798952.0,0.0,2452.757221036242,4.906904952415691e-06,2.0005669172355427e-09,2452.757221036242,-2.0609729704295603e-05,-7.751054218805216e-08
20,798952.0,0.0,3718.0620037281615,1.2365062864236726e-06,3.325674195814399e-10,3718.0620037281615,-2.428012837028763e-05,-7.917854168570624e-08
21,799127.0,0.0,1312.8329142696807,8.63780477075532e-06,6.579515699879041e-09,1312.8329142696807,-1.6878829885955986e-05,-7.293159340540868e-08
22,799127.0,0.0,4012.3917500717844,1.0732131002387363e-06,2.674746552899616e-10,4012.3917500717844,-2.4443421556472567e-05,-7.924363444999775e-08
23,799127.0,0.0,3917.123574572295,3.0817169780504057e-06,7.867295783199523e-10,3917.123574572295,-2.24349176786609e-05,-7.872437952696777e-08
24,799302.0,0.0,4306.80301954493,3.06367799660839e-06,7.113578175516622e-10,4306.80301954493,-2.245295666010291e-05,-7.879975128773605e-08
25,799302.0,0.0,2063.3017347446407,3.0296715280902205e-06,1.468360868927966e-09,2063.3017347446407,-2.2486963128621078e-05,-7.80427482363597e-08
26,799302.0,0.0,1480.6066565376734,5.412244064097079e-06,3.655423295714034e-09,1480.6066565376734,-2.0104390592614217e-05,-7.585568580957365e-08
27,799478.0,0.0,1298.0474262713203,5.907325322440778e-05,4.550931809486919e-08,1298.0474262713203,3.3556618567696476e-05,-3.40017910104185e-08
28,799478.0,0.0,3538.1924976112514,1.9818494075564507e-06,5.601304646071296e-10,3538.1924976112514,-2.3534785249154853e-05,-7.895097864068057e-08
29,799478.0,0.0,5039.474653483696,3.949773359428243e-06,7.837668866332799e-10,5039.474653483696,-2.156686129728306e-05,-7.872734221865442e-08
30,799653.0,0.0,912.832552831529,1.4638178177177822e-05,1.603599491688967e-08,912.832552831529,-1.0878456479533485e-05,-6.347511418839803e-08
31,799653.0,0.0,3617.3541436123046,2.9864639822259178e-06,8.255934762427277e-10,3617.3541436123046,-2.2530170674485388e-05,-7.868551562904499e-08
32,799653.0,0.0,2801.122767871483,3.7772471004689346e-06,1.3484760981537373e-09,2801.122767871483,-2.173938755624237e-05,-7.816263300713398e-08
33,799828.0,0.0,1652.3570541335514,1.7320692157240306e-06,1.0482414871477509e-09,1652.3570541335514,-2.3784565440987274e-05,-7.846286761813995e-08
34,799828.0,0.0,1909.6417148781934,7.5501468433615125e-06,3.953698112340984e-09,1909.6417148781934,-1.7966487813349797e-05,-7.555741099294672e-08
35,799828.0,0.0,4886.689059743842,2.8085563406396116e-06,5.747360444470012e-10,4886.689059743842,-2.2708078316071696e-05,-7.893637306084069e-08
36,800004.0,0.0,1291.3087099872864,2.915904346436793e-05,2.258100114933401e-08,1291.3087099872864,3.6424088076566305e-06,-5.6930107955953693e-08
37,800004.0,0.0,1598.9225034575106,8.191053611421004e-06,5.122858421035833e-09,1598.9225034575106,-1.7325581045290303e-05,-7.438825068425189e-08
38,800004.0,0.0,1276.5533831640296,4.470539841852848e-06,3.5020390849400224e-09,1276.5533831640296,-2.104609481485845e-05,-7.600907002034763e-08
39,800179.0,0.0,1925.6923036121104,7.523082887222438e-07,3.90669001122923e-10,1925.6923036121104,-2.4764326367989063e-05,-7.912044010416478e-08
40,800179.0,0.0,3670.500117993639,1.3338956671242336e-06,3.634097872889771e-10,3670.500117993639,-2.4182738989587073e-05,-7.914769931799874e-08
41,800179.0,0.0,1861.943181976186,3.0004234863382397e-06,1.6114473929079404e-09,1861.943181976186,-2.2516211170373057e-05,-7.789966171237978e-08
42,800354.0,0.0,2615.1834343977202,2.1891847957603753e-06,8.371056373965396e-10,2615.1834343977202,-2.332744986095093e-05,-7.867400346789117e-08
43,800354.0,0.0,3532.3743564590045,4.558357853555058e-06,1.2904515188827666e-09,3532.3743564590045,-2.095827680315625e-05,-7.822065758640496e-08
44,800354.0,0.0,2118.2809124222035,1.1588496941129653e-06,5.470708286692006e-10,2118.2809124222035,-2.435778496259834e-05,-7.89640382766185e-08
45,800529.0,0.0,1654.3283822732824,3.327187863189444e-06,2.0112015841845225e-09,1654.3283822732824,-2.2189446793521865e-05,-7.749990752110315e-08
46,800529.0,0.0,3954.626553921497,3.0382205744581214e-06,7.682699069132972e-10,3954.626553921497,-2.2478414082253177e-05,-7.874283919837439e-08
47,800529.0,0.0,3790.9224929870134,2.8860724780142815e-06,7.613113914497983e-10,3790.9224929870134,-2.263056217869702e-05,-7.874979771383788e-08
48,800705.0,0.0,1482.7083166524776,1.3463006815256365e-05,9.080010318989714e-09,1482.7083166524776,-1.2053627841454947e-05,-7.043109878629799e-08
49,800705.0,0.0,4753.339744787283,2.137512211612168e-06,4.4968639448847636e-10,4753.339744787283,-2.3379122445099135e-05,-7.906142271079923e-08
50,800705.0,0.0,2387.2400710457923,6.2242434078515545e-06,2.6072968040976556e-09,2387.2400710457923,-1.9292391248859754e-05,-7.690381230119002e-08
51,800880.0,0.0,2161.8995320726094,4.326457257446482e-06,2.0012295637525373e-09,2161.8995320726094,-2.1190177399264815e-05,-7.750987954153517e-08
52,800880.0,0.0,2342.4879516096707,8.430401471735734e-06,3.5989092135746845e-09,2342.4879516096707,-1.708623318497557e-05,-7.591219989171301e-08
53,800880.0,0.0,4000.084850098057,1.8328027770085219e-06,4.5819097486484396e-10,4000.084850098057,-2.368383187970278e-05,-7.905291813042284e-08
54,801055.0,0.0,4200.008513275966,3.0645048536810604e-06,7.296425338173366e-10,4200.008513275966,-2.245212980303025e-05,-7.878146657147036e-08
55,801055.0,0.0,3065.302888562502,2.224648410289728e-06,7.257515786092494e-10,3065.302888562502,-2.329198624642158e-05,-7.878535752667844e-08
56,801055.0,0.0,2231.2660143817056,4.453838874752224e-06,1.9961039365296853e-09,2231.2660143817056,-2.1062795781959083e-05,-7.751500516875805e-08
57,801230.0,0.0,2224.7539144377724,4.937668459799663e-06,2.2194223045327166e-09,2224.7539144377724,-2.0578966196911648e-05,-7.729168680075501e-08
58,801230.0,0.0,3827.7761273351534,1.2422834695619687e-06,3.2454444257868074e-10,3827.7761273351534,-2.4274351187149343e-05,-7.918656466270901e-08
59,801230.0,0.0,1812.7556373567877,3.563880286582123e-06,1.966001491397198e-09,1812.7556373567877,-2.1952754370129178e-05,-7.754510761389048e-08
60,801406.0,0.0,2986.1958377957603,1.2694574277398332e-06,4.251085651090032e-10,2986.1958377957603,-2.424717722897147e-05,-7.908600054017869e-08
61,801406.0,0.0,2548.21380439834,2.711323810191312e-06,1.0640095448472324e-09,2548.21380439834,-2.2805310846519995e-05,-7.844709956044044e-08
62,801406.0,0.0,3324.7931391672114,2.2694155583000357e-06,6.825734604554902e-10,3324.7931391672114,-2.3247219098411268e-05,-7.882853564483224e-08
63,801581.0,0.0,1821.294989491964,3.829634649962884e-06,2.102698723742237e-09,1821.294989491964,-2.168700000674842e-05,-7.740841038154544e-08
64,801581.0,0.0,3283.684367682289,2.3386959239666805e-06,7.122170288301472e-10,3283.684367682289,-2.317793873274463e-05,-7.879889207645758e-08
65,801581.0,0.0,1599.067930912384,2.9004295592961697e-06,1.8138251060048865e-09,1599.067930912384,-2.2616205097415137e-05,-7.76972839992828e-08
66,801756.0,0.0,3693.4309367962824,1.6488580998368052e-06,4.4642992600994473e-10,3693.4309367962824,-2.3867776556874503e-05,-7.906467917927778e-08
67,801756.0,0.0,2138.9826937115854,2.1058447729348305e-06,9.845076255763185e-10,2138.9826937115854,-2.341078988377648e-05,-7.852660147971136e-08
68,801756.0,0.0,1337.1502682917267,2.4236139411523605e-06,1.8125217476481855e-09,1337.1502682917267,-2.3093020715558935e-05,-7.76985873576395e-08
69,801931.0,0.0,2476.86231170879,3.3512398178206984e-06,1.3530182125903777e-09,2476.86231170879,-2.216539483889061e-05,-7.815809089269734e-08
70,801931.0,0.0,1649.8345432798876,2.8995844463131996e-06,1.7575001433469787e-09,1649.8345432798876,-2.2617050210398102e-05,-7.775360896194071e-08
71,801931.0,0.0,2232.771716466529,2.1474153954581957e-06,9.617711383663468e-10,2232.771716466529,-2.3369219261253108e-05,-7.854933796692138e-08
72,802107.0,0.0,1540.8593875315282,2.6837030547660475e-05,1.741692380552236e-08,1540.8593875315282,1.3203958909491657e-06,-6.209418529976537e-08
73,802107.0,0.0,2048.655679646855,2.1208583491423705e-06,1.0352439261574507e-09,2048.655679646855,-2.339577630756893e-05,-7.847586517913024e-08
74,802107.0,0.0,1537.9626621558468,1.2674120964099245e-06,8.24085088407363e-10,1537.9626621558468,-2.424922256030138e-05,-7.868702401688032e-08
75,802282.0,0.0,1869.5841717220524,4.255165626044888e-06,2.2759957483623237e-09,1869.5841717220524,-2.1261469030666423e-05,-7.723511335692539e-08
76,802282.0,0.0,2192.262810591978,2.679381666909241e-06,1.2221991149800723e-09,2192.262810591978,-2.2837252989802063e-05,-7.828890999030761e-08
77,802282.0,0.0,1907.6361866776706,1.8488944539873597e-06,9.692070568274262e-10,1907.6361866776706,-2.3667740202723953e-05,-7.854190204846026e-08
78,802457.0,0.0,2719.2093876131503,1.7955572649759412e-06,6.603232811549072e-10,2719.2093876131503,-2.372107739173537e-05,-7.885078582413276e-08
79,802457.0,0.0,2030.3774627985547,1.7765646889660143e-06,8.749923211407697e-10,2030.3774627985547,-2.3740069967745298e-05,-7.86361167841469e-08
80,802457.0,0.0,3178.9966475716287,2.3394021222879347e-06,7.358932335065394e-10,3178.9966475716287,-2.317723253442337e-05,-7.877521587178115e-08
81,802633.0,0.0,1907.595170737254,1.5487903485887398e-06,8.119072496866082e-10,1907.595170737254,-2.396784430812256e-05,-7.869920185560108e-08
82,802633.0,0.0,2088.3203199323098,1.2901244301714948e-06,6.177809112221408e-10,2088.3203199323098,-2.4226510226539805e-05,-7.889332819406556e-08
83,802633.0,0.0,2649.429132854502,1.925653435494829e-06,7.268182460951974e-10,2649.429132854502,-2.359098122121648e-05,-7.878429085919251e-08
84,802808.0,0.0,2504.872077101048,2.0441546747280815e-06,8.160714846140301e-10,2504.872077101048,-2.347247998198323e-05,-7.869503762067368e-08
85,802808.0,0.0,3401.9146573344924,7.130692023389575e-06,2.096081983719338e-09,3401.9146573344924,-1.8385942633321728e-05,-7.741502712156838e-08
86,802808.0,0.0,5198.909770303482,2.94277934519605e-06,5.66037780075623e-10,5198.909770303482,-2.2573855311515253e-05,-7.894507132521207e-08
87,802983.0,0.0,1675.2708201943287,3.889768518325308e-06,2.321874452438741e-09,1675.2708201943287,-2.1626866138385995e-05,-7.7189234652849e-08
88,802983.0,0.0,1860.651303806902,5.752687763785078e-06,3.0917602626645034e-09,1860.651303806902,-1.9763946892926224e-05,-7.64193488426232e-08
89,802983.0,0.0,2374.5529632258585,3.028982755639306e-06,1.2756012616052148e-09,2374.5529632258585,-2.2487651901071997e-05,-7.823550784368248e-08
90,803158.0,0.0,2036.140901288477,1.2649319413712839e-06,6.212398859876694e-10,2036.140901288477,-2.4251702715340018e-05,-7.888986921930005e-08
91,803158.0,0.0,6142.143412841618,2.344808860519444e-06,3.817574261807468e-10,6142.143412841618,-2.3171825796191864e-05,-7.912935167910695e-08
92,803158.0,0.0,2785.328249193526,3.616569254668735e-06,1.298435563462184e-09,2785.328249193526,-2.190006540204257e-05,-7.821267354182551e-08
93,803334.0,0.0,1515.650388618623,4.3728310677335236e-05,2.885118560698526e-08,1515.650388618623,1.8211676020623926e-05,-5.065992349830245e-08
94,803334.0,0.0,2627.8852448022717,3.0706773468448297e-06,1.1684975030467416e-09,2627.8852448022717,-2.244595730986648e-05,-7.834261160224096e-08
95,803334.0,0.0,1741.3892799430241,2.187152169290032e-06,1.255981183806066e-09,1741.3892799430241,-2.3329482487421272e-05,-7.825512792148162e-08
96,803509.0,0.0,1796.33547096213,4.672140551221646e-06,2.6009287389505334e-09,1796.33547096213,-2.0844494105489653e-05,-7.691018036633715e-08
97,803509.0,0.0,3597.7597671385683,2.489378828865808e-06,6.919246948068751e-10,3597.7597671385683,-2.3027255827845505e-05,-7.881918441048088e-08
98,803509.0,0.0,1093.2615972700412,4.141468193814792e-06,3.7881767768632486e-09,1093.2615972700412,-2.1375166462896508e-05,-7.572293232842441e-08
99,803684.0,0.0,1120.5217821380554,2.2862505960145507e-05,2.0403446255655832e-08,1120.5217821380554,-2.654128696565801e-06,-5.910766284963187e-08
100,803684.0,0.0,1675.4886821082268,8.269544215671102e-06,4.935601358563481e-09,1675.4886821082268,-1.7247090441040195e-05,-7.457550774672424e-08
101,803684.0,0.0,2112.2335455925368,5.393169883823931e-06,2.5533018804087815e-09,2112.2335455925368,-2.0123464772887372e-05,-7.695780722487892e-08
102,803859.0,0.0,1176.7106653907658,6.524832012018092e-05,5.544975671526955e-08,1176.7106653907658,3.973168546346962e-05,-2.406135239001815e-08
103,803859.0,0.0,1773.5491357635137,5.644850039373241e-06,3.1827987877782313e-09,1773.5491357635137,-1.9871784617338067e-05,-7.632831031750943e-08
104,803859.0,0.0,2712.473723647426,7.018252529199519e-06,2.5873992687981403e-09,2712.473723647426,-1.849838212751179e-05,-7.692370983648953e-08
105,804035.0,0.0,2550.803087063993,2.7318186958596575e-06,1.0709641640758776e-09,2550.803087063993,-2.278481596085165e-05,-7.844014494121181e-08
106,804035.0,0.0,3204.782544554508,3.0025208106989474e-06,9.368875326036585e-10,3204.782544554508,-2.2514113846012358e-05,-7.857422157268403e-08
107,804035.0,0.0,2276.6947299939548,2.847276467596171e-06,1.2506184646036106e-09,2276.6947299939548,-2.266935818911513e-05,-7.826049064068408e-08
108,804210.0,0.0,4164.634777351667,1.736788937053117e-06,4.170327123276722e-10,4164.634777351667,-2.3779845719658188e-05,-7.909407639296003e-08
109,804210.0,0.0,1484.395014639421,4.592847724712236e-06,3.094087274220534e-09,1484.395014639421,-2.0923786931999076e-05,-7.641702183106717e-08
110,804210.0,0.0,3434.5412150402103,1.1100986920054306e-06,3.2321600542867093e-10,3434.5412150402103,-2.4406535964705868e-05,-7.918789309985903e-08
111,804385.0,0.0,1721.5495966313392,5.397128935678271e-06,3.1350412130090016e-09,1721.5495966313392,-2.0119505721033035e-05,-7.637606789227867e-08
112,804385.0,0.0,3591.686080463922,5.380015178876052e-07,1.4979079625414088e-10,3591.686080463922,-2.4978633138823705e-05,-7.936131830903353e-08
113,804385.0,0.0,2884.178812418265,4.6001862912358995e-06,1.5949726388076587e-09,2884.178812418265,-2.0916448365475408e-05,-7.791613646648005e-08
114,804561.0,0.0,4706.608495799436,2.5185201805646665e-06,5.351029691151071e-10,4706.608495799436,-2.2998114476146633e-05,-7.897600613617262e-08
115,804561.0,0.0,2853.2836400847723,3.4659467376757033e-06,1.214722114893817e-09,2853.2836400847723,-2.2050687919035606e-05,-7.82963869903939e-08
116,804561.0,0.0,2821.737987601654,3.5519267085712112e-06,1.258772686967362e-09,2821.737987601654,-2.1964707948140088e-05,-7.825233641832032e-08
117,804736.0,0.0,1190.3542906429761,3.069097027582204e-06,2.578305510978933e-09,1190.3542906429761,-2.244753762912911e-05,-7.693280359430877e-08
118,804736.0,0.0,2343.7339601012036,5.3075736255648746e-06,2.2645802449932033e-09,2343.7339601012036,-2.020906103114643e-05,-7.72465288602945e-08
119,804736.0,0.0,2564.2251902201933,1.8825061110388536e-06,7.341422735486037e-10,2564.2251902201933,-2.3634128545672446e-05,-7.877696683173908e-08
120,804911.0,0.0,1376.3518005438098,6.331228825646952e-06,4.600007660211163e-09,1376.3518005438098,-1.918540583106435e-05,-7.491110144507656e-08
121,804911.0,0.0,1324.1432785493112,4.782637647751273e-06,3.6118732203896977e-09,1324.1432785493112,-2.073399700896003e-05,-7.5899235884898e-08
122,804911.0,0.0,2465.1442739015074,7.810589513044454e-06,3.168410707533509e-09,2465.1442739015074,-1.770604514366685e-05,-7.63426983977542e-08
123,805086.0,0.0,2642.6104261191167,3.453620392583559e-06,1.3068972855206187e-09,2642.6104261191167,-2.2063014264127743e-05,-7.820421181976706e-08
124,805086.0,0.0,2759.589735208185,2.2682443231140777e-06,8.21949833402667e-10,2759.589735208185,-2.3248390333597223e-05,-7.868915927188503e-08
125,805086.0,0.0,3071.007335224435,2.8184410344524134e-06,9.177578321370035e-10,3071.007335224435,-2.269819362225889e-05,-7.859335127315069e-08
126,805262.0,0.0,3828.129410536819,6.339486722235097e-06,1.6560272766082143e-09,3828.129410536819,-1.9177147934476212e-05,-7.785508182867948e-08
127,805262.0,0.0,1602.9491923323212,3.6790656878349926e-06,2.2951854652871952e-09,1602.9491923323212,-2.1837568968876314e-05,-7.721592364000049e-08
128,805262.0,0.0,3346.1878742147223,1.257221232855532e-06,3.757174671940901e-10,3346.1878742147223,-2.425941342385577e-05,-7.913539163809364e-08
129,805437.0,0.0,942.9858593328664,8.320650575647362e-06,8.823727835679282e-09,942.9858593328664,-1.7195984081063942e-05,-7.06873812696084e-08
130,805437.0,0.0,2182.153195502652,9.080685128281065e-06,4.161341718352344e-09,2182.153195502652,-1.643594952843025e-05,-7.534976738693536e-08
131,805437.0,0.0,3030.974291172441,5.205345160652112e-06,1.7173834749481103e-09,3030.974291172441,-2.0311289496059194e-05,-7.779372563033962e-08
132,805612.0,0.0,1643.2443566174557,3.4755365780701766e-06,2.115045497691172e-09,1643.2443566174557,-2.2041098078641127e-05,-7.739606360759652e-08
133,805612.0,0.0,2086.684886215586,2.957071862101105e-06,1.4171147170496134e-09,2086.684886215586,-2.2559562794610203e-05,-7.80939943882381e-08
134,805612.0,0.0,6048.656946266556,1.360910878332153e-06,2.2499389375556423e-10,6048.656946266556,-2.4155723778379147e-05,-7.928611521153215e-08
135,805787.0,0.0,2932.3257766759866,1.7684452315805944e-06,6.030862074217623e-10,2932.3257766759866,-2.374818942513071e-05,-7.890802289786596e-08
136,805787.0,0.0,1871.6206717023038,3.2641770936536386e-06,1.7440377438686637e-09,1871.6206717023038,-2.2252457563057664e-05,-7.776707136141901e-08
137,805787.0,0.0,5781.45079611123,5.327695602386432e-07,9.21515341092238e-11,5781.45079611123,-2.4983865096472662e-05,-7.941895757117848e-08
138,805963.0,0.0,3030.5466666858847,2.634710662443173e-06,8.693846200772793e-10,3030.5466666858847,-2.288192399426813e-05,-7.864172448521038e-08
139,805963.0,0.0,2357.7382357731935,1.701240411149886e-06,7.215561020886542e-10,2357.7382357731935,-2.3815394245561424e-05,-7.878955300319906e-08
140,805963.0,0.0,1470.3592750003831,1.4448555655885949e-05,9.826547770701948e-09,1470.3592750003831,-1.106807900082535e-05,-6.968456133458576e-08
141,806138.0,0.0,1413.6833499790387,5.152515219565186e-06,3.6447449279512165e-09,1413.6833499790387,-2.0364119437146127e-05,-7.586636417733648e-08
142,806138.0,0.0,2353.184400654813,2.9167894873999104e-06,1.2395074039196694e-09,2353.184400654813,-2.25998451693114e-05,-7.827160170136804e-08
143,806138.0,0.0,2434.3659325896438,3.409374924316549e-06,1.4005186642953488e-09,2434.3659325896438,-2.210725973239476e-05,-7.811059044099231e-08
144,806313.0,0.0,2958.0755476760437,3.6396481961997958e-06,1.2304108321571492e-09,2958.0755476760437,-2.1876986460511514e-05,-7.828069827313053e-08
145,806313.0,0.0,3212.1992329858554,5.157119821267242e-06,1.6054794386067744e-09,3212.1992329858554,-2.0359514835444055e-05,-7.790562966668096e-08
146,806313.0,0.0,2827.7977628682675,1.2017499273743894e-06,4.2497732445881873e-10,2827.7977628682675,-2.431488472933692e-05,-7.908613178082887e-08
147,806489.0,0.0,1993.8102411030998,7.769488279393323e-06,3.896804279174912e-09,1993.8102411030998,-1.7747146377317976e-05,-7.561430482611282e-08
148,806489.0,0.0,1933.0512590447565,8.34450187594327e-06,4.316751476143896e-09,1933.0512590447565,-1.7172132780768037e-05,-7.519435762914381e-08
149,806489.0,0.0,4342.197026290555,1.714755319453399e-06,3.9490500064164e-10,4342.197026290555,-2.38018793372579e-05,-7.911620410464607e-08
150,806664.0,0.0,3192.7256498824763,1.092073507595667e-06,3.420505321639102e-10,3192.7256498824763,-2.4424561149115637e-05,-7.916905857312381e-08
151,806664.0,0.0,2077.339927409068,2.0910428837627076e-06,1.0065963957910012e-09,2077.339927409068,-2.3425591772948603e-05,-7.850451270949669e-08
