% Model:              SIM_COMSOL - copia.mph
% Version:            COMSOL 5.5.0.359
% Date:               Feb 20 2025, 09:42
% Dimension:          1
% Nodes:              6572
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         1.8413070420134677E-27
1.1833165619756765        0
2.958291404939278         0
4.733266247902871         1.88949006450238E-31
5.916582809878561         0
7.0998993718542405        0
8.874874214817842         1.3097517804065588E-31
10.649849057781454        0
11.833165619757127        0
13.01648218173279         1.5610811275954516E-34
14.791457024696411        0
16.566431867660047        8.825404184919526E-35
17.749748429635694        0
18.93306499161134         0
20.708039834574972        0
22.483014677538627        0
23.66633123951425         0
24.849647801489827        0
26.624622644453517        0
28.245314478649487        0
29.416427522113924        0
30.669868923499205        0
32.236763122337415        0
33.55455080270791         0
34.77578377386786         0
36.0534353949286          0
37.362818429600644        0
38.9981520796466          0
40.29210541487121         7.590491441475153E-34
41.4527276990938          0
43.29391856923818         0
45.130167454240855        0
46.33366876048575         0
47.516985322461444        8.596300996626107E-35
49.291960165425024        0
51.066935008388604        0
52.250251570364306        0
53.43356813233999         0
55.20854297530359         0
56.98351781826716         0
58.16683438024287         0
59.35015094221856         2.5937086713155284E-31
61.125125785182156        3.769017712303556E-30
62.90010062814575         0
64.08341719012144         0
65.26673375209712         6.914682657446639E-31
67.0417085950607          0
68.81668343802431         0
70                        1.2066303123054935E-15
0                         1.8413070420134677E-27
1.1833165619756765        0
2.958291404939278         0
4.733266247902871         1.88949006450238E-31
5.916582809878561         0
7.0998993718542405        0
8.874874214817842         1.3097517804065588E-31
10.649849057781454        0
11.833165619757127        0
13.01648218173279         1.5610811275954516E-34
14.791457024696411        0
16.566431867660047        8.825404184919526E-35
17.749748429635694        0
18.93306499161134         0
20.708039834574972        0
22.483014677538627        0
23.66633123951425         0
24.849647801489827        0
26.624622644453517        0
28.245314478649487        0
29.416427522113924        0
30.669868923499205        0
32.236763122337415        0
33.55455080270791         0
34.77578377386786         0
36.0534353949286          0
37.362818429600644        0
38.9981520796466          0
40.29210541487121         7.590491441475153E-34
41.4527276990938          0
43.29391856923818         0
45.130167454240855        0
46.33366876048575         0
47.516985322461444        8.596300996626107E-35
49.291960165425024        0
51.066935008388604        0
52.250251570364306        0
53.43356813233999         0
55.20854297530359         0
56.98351781826716         0
58.16683438024287         0
59.35015094221856         2.5937086713155284E-31
61.125125785182156        3.769017712303556E-30
62.90010062814575         0
64.08341719012144         0
65.26673375209712         6.914682657446639E-31
67.0417085950607          0
68.81668343802431         0
70                        1.2066303123054935E-15
0                         0
0.18080324047486698       0.16531545118276583
0.3612814786671954        0.29398172859209665
0.5609256973451835        0.3921335937443711
0.6386825412542299        0.41735332638603795
0.7190850229140595        0.4799259650496217
0.7916799391154411        0.5299358106553842
1                         0.6382941646999956
1.8649587958104852        1.1803405791710218
2.117174739730549         1.3383736331843905
2.84838519566338          1.796044331232727
3.699100989191132         2.3288752312472467
4.603216556005622         2.7555184365455685
5.197966225199005         3.037568745056318
5.391062669065476         3.1273127473452043
6.101633549662516         3.4174093534224954
6.46778241648433          3.566761765327181
7.436944053147525         3.7997597594945964
7.571593921695867         3.832166349608969
7.986400145403498         3.9074651259816493
9.284517421618792         4.139112926297893
9.837705712382377         4.265037772615149
10.563892539769956        4.431043710113023
10.788020922569185        4.48244081804348
11.012876627003406        4.534424517723619
11.740086349392467        4.7162740454622565
12.13603107464387         4.815337368003818
13.115622048019862        5.040389390927105
13.27315123422778         5.076597813439533
13.744323572425593        5.187662569167242
15.012356089456002        5.486649433282249
16.289186755495972        5.66843144258707
16.760907355569525        5.735464187000606
17.5086208989021          5.834136426319712
17.91083932282951         5.887114750193049
18.927611751609895        6.020805575772928
19.066547987386404        6.039000746318138
19.465227254895737        6.088242899113668
20.820620489244536        6.254761352439249
22.21898647084021         6.382874268445991
22.57996903819704         6.415747273423562
23.367907068465737        6.48834441081664
23.74253240780711         6.522766506373099
24.804841225287475        6.59668098602577
24.910001395652735        6.603989241694792
25.21862775209684         6.624528021019449
26.673349059926533        6.721235467185355
28.06153823264103         6.790503946950651
28.285901406368364        6.801759133129857
29.072512288534025        6.842791994756746
29.44494463651785         6.862383020017642
30.094457754698784        6.888402375362883
30.693566363099023        6.912733929857431
30.89681815957836         6.922156453459498
31.477437914499006        6.949319247784265
32.24787112266577         6.985933005924103
32.62043144183039         6.9880969570072295
33.38943441633405         6.992621148982094
33.4827306613618          6.9931760404382715
33.560718879433175        6.99364026794515
34.41177892422456         6.998533914934199
34.772438073044796        7.0006250905128
35.335691167581174        7.001173249324491
35.8553382029059          7.001747392404734
36.0447569717527          7.001947222104619
36.58703245117634         6.99592136103153
37.344813051887016        6.987374741140819
37.648619539157984        6.979755183572245
38.06866834695538         6.969147470467429
38.473665712274816        6.958838909484273
38.97223213489746         6.946022375132655
39.55996829824432         6.926369155470882
40.25610195999827         6.9028290728351065
40.66489091874358         6.883557710359391
41.29799584245827         6.853516016698312
41.41144019435028         6.848087129405628
42.03498084006777         6.813963747373469
43.2366541877812          6.747433122972949
43.391891887699956        6.739558877941764
45.057818202587754        6.6545180601128635
45.529609808770125        6.627008681064278
46.24728162397442         6.585000663016268
46.85328300644069         6.516298938562962
47.41321056078846         6.452764216115418
49.07122743024095         6.262019193618964
49.16974874593357         6.250711705019233
49.268679475297326        6.240768197978307
50.91995112830022         6.074791792030534
51.38020274398757         6.02198313045591
52.08040151338578         5.941966698778228
52.69998304515977         5.838940226974128
53.23393387892289         5.750182933178251
54.01652891651778         5.621567401079453
54.781373691377766        5.496733663931029
