% Model:              SIM_COMSOL.mph
% Version:            COMSOL 5.5.0.359
% Date:               Feb 19 2025, 13:05
% Dimension:          1
% Nodes:              14520
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         6.075339697312839E-31
1.4203064057893278        0
1.7753830072368013        0
2.1304596086842746        0
3.5507660144736017        1.498095661281759E-16
4.971072420262923         0
5.326149021710407         0
5.681225623157892         5.567077135866226E-30
7.101532028947212         3.2104703617719136E-30
8.521838434736539         0
8.876915036184013         0
9.23199163763149          0
10.65229804342082         0
12.072604449210143        0
12.427681050657618        0
12.782757652105095        0
14.203064057894421        0
15.623370463683745        0
15.97844706513122         0
16.3335236665787          0
17.753830072368025        0
19.174136478157354        1.767867495335355E-37
19.52921307960483         0
19.8842896810523          0
21.304596086841634        0
22.724902492630967        1.943486371663267E-34
23.079979094078432        0
23.43505569552588         0
24.855362101315237        0
26.275668507104566        0
26.630745108552016        4.080293494408093E-34
26.985821709999474        8.188306199651888E-34
28.366996958269507        0
29.661938464291044        0
30.024499715127106        0
30.41083212468052         0
31.667332958736072        3.30300528272082E-36
32.86184597106011         0
33.354050768480846        8.365533831001858E-37
33.89341039024485         3.360030793862971E-36
35.05479197886239         5.283569199380214E-38
36.24752984113802         5.232222032491174E-24
36.75489454820786         0
37.17737148817725         0
38.453516539757814        0
39.81656694828558         0
40.12381535856238         0
40.43395177813034         0
41.79577211936826         0
43.15884666135391         0
43.47207541008215         0
43.79209128698845         0
45.1446378986847          0
46.564944304474245        0
46.92002090592152         0
47.27509750736878         0
48.69540391315831         0
50.115710318947826        0
50.47078692039513         3.487437309844713E-36
50.82586352184241         1.0887228400838433E-37
52.246169927631925        0
53.66647633342143         0
54.02155293486873         0
54.376629536316045        0
55.79693594210555         0
57.21724234789506         0
57.57231894934236         0
57.927395550789676        2.7425819308716093E-35
59.34770195657914         3.498615733877611E-33
60.76800836236864         0
61.12308496381594         0
61.47816156526328         0
62.898467971052774        0
64.31877437684223         4.246080976446697E-34
64.67385097828956         1.058686018256333E-34
65.0289275797369          0
66.44923398552638         0
67.86954039131585         0
68.22461699276319         0
68.57969359421048         0
70                        8.846198870687343E-16
0                         6.075339697312839E-31
1.4203064057893278        0
1.7753830072368013        0
2.1304596086842746        0
3.5507660144736017        1.498095661281759E-16
4.971072420262923         0
5.326149021710407         0
5.681225623157892         5.567077135866226E-30
7.101532028947213         0
8.521838434736539         0
8.876915036184013         0
9.23199163763149          0
10.65229804342082         0
12.072604449210143        0
12.427681050657618        0
12.782757652105095        0
14.203064057894421        0
15.623370463683745        0
15.97844706513122         0
16.3335236665787          0
17.753830072368025        0
19.174136478157354        1.767867495335355E-37
19.52921307960483         0
19.8842896810523          0
21.304596086841634        0
22.724902492630967        1.943486371663267E-34
23.079979094078432        0
23.43505569552588         0
24.855362101315237        0
26.275668507104566        0
26.630745108552013        4.080293494408093E-34
26.985821709999474        8.188306199651888E-34
28.366996958269507        0
29.661938464291044        0
30.024499715127106        0
30.41083212468052         0
31.667332958736072        3.30300528272082E-36
32.86184597106011         0
33.354050768480846        8.365533831001858E-37
33.89341039024485         3.360030793862971E-36
35.05479197886239         5.283569199380214E-38
36.24752984113802         5.232222032491174E-24
36.75489454820786         0
37.17737148817725         0
38.453516539757814        0
39.81656694828558         0
40.12381535856238         0
40.43395177813034         0
41.79577211936826         0
43.15884666135391         0
43.47207541008215         0
43.79209128698845         0
45.1446378986847          0
46.564944304474245        0
46.92002090592152         0
47.27509750736878         0
48.69540391315831         0
50.115710318947826        0
50.47078692039513         3.487437309844713E-36
50.82586352184241         1.0887228400838433E-37
52.246169927631925        0
53.66647633342143         0
54.02155293486873         0
54.376629536316045        0
55.79693594210555         0
57.21724234789506         0
57.57231894934236         0
57.92739555078968         2.7425819308716093E-35
59.34770195657914         3.498615733877611E-33
60.76800836236864         0
61.12308496381594         0
61.47816156526328         0
62.898467971052774        0
64.31877437684223         4.246080976446697E-34
64.67385097828956         1.058686018256333E-34
65.0289275797369          0
66.44923398552638         0
67.86954039131585         0
68.22461699276319         0
68.57969359421048         0
70                        8.846198870687343E-16
0                         0
0.16322240772315116       0.1274998209201352
0.19545885076334363       0.14990111373984433
0.2711772952303558        0.1988298184247383
0.3346304469921304        0.2357902347261763
0.4454949670518804        0.2913311553826459
0.5171810352775438        0.32099615446170887
0.5377891229621962        0.3286000597452018
0.6678179046172645        0.36687580829357114
0.7337091842009031        0.41298216332879856
0.8472868577662709        0.4830578283384804
0.8551094312019089        0.4874389954202303
1                         0.5579618744793227
2.12800414157742          1.1150538684947142
2.3068866081853407        1.2031524869215322
2.3488513989707616        1.222538067263183
2.390805127878295         1.2416409131524297
2.6142200533864934        1.343214655157924
2.6430464947518493        1.3563014987524313
2.910800514867668         1.4776532182613535
2.9700823445975617        1.5044709902294329
3.9549192503477952        1.947360647251433
4.0208189255129225        1.9768206095700185
4.288759383068048         2.096376445673575
5.52562811376896          2.406523896502452
5.573366704779559         2.4183908211280545
5.625999410612188         2.4314655132947625
5.916564020007135         2.5034799148900926
5.968091037128062         2.5162213111016123
6.221490947196015         2.5787536686683783
6.30238929313853          2.598672806797033
7.202054506171214         2.8083902228201585
7.650390197244462         2.9121642833962786
8.069405667044988         3.0147212538493657
8.616841057100416         3.1476545430113956
8.85056026986867          3.2040474006281086
9.009305144486154         3.2422278714070325
9.251624380736384         3.3039088116506328
9.354382675664887         3.3300103681649085
9.578772281871316         3.386838753788855
9.69354166620653          3.415815917805038
10.497906376888963        3.6172293939277482
11.060073523188692        3.756280613275915
